暔審庬暿,暔審僐乕僪,栤崌偣僐乕僪,奜晹暔審嬫暘,奜晹暔審僐乕僪,尰嫷,岞奐忬懺,僄儔乕,捓椏,娫庢,強嵼奒,抸擭寧,暔審柤,僼儕僈僫,強嵼抧,娗棟旓,嫟塿旓,晘嬥,楃嬥,曐徹嬥,晘堷,峏怴椏,柺愊乮搚抧乯,柺愊乮愱桳乯,捸悢(戙昞),捸扨壙(戙昞),暔審妋擣擔,搊榐擔,峏怴擔,帺幮愭暔,庢堷懺條,嬈幰柤,尦晅扴摉幰,TEL,挀幵応,暔審儊儌,梄曋斣崋
岺応,R00175-014467,,,,,傾乕僇僀僽(惉栺),柍,462000,,奒,2005擭05寧,榓壧嶳導榓壧嶳巗廙捗挰3挌栚偺戄岺応亂101捸亃,,榓壧嶳導榓壧嶳巗廙捗挰俁挌栚4,,,,2.00,2.00,,,696.09,336.16,101.68,4544,2025/04/11,"2025/01/16 13:33","2025/04/11 14:46",愭暔(拠夘),,(姅)僼僕僔儅晄摦嶻,-,"=""073-499-8000""",,,6408255
岺応,R00175-014371,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,2650000,,奒,1992擭03寧,戝嶃巗廧擵峕嬫撿峘搶3挌栚偺戄岺応亂524捸亃,,戝嶃晎戝嶃巗廧擵峕嬫撿峘搶俁挌栚3-17,,,,,7950000,,,1989.62,1732.45,524.06,5057,2025/04/11,"2024/11/28 11:56","2025/04/11 14:33",愭暔(拠夘),,乮姅乯僐僗儌晄摦嶻忣曬丂杮幮丂惣戝嶃尋媶強,扢堜丗080-6232-8707,"=""06-6551-1127""",,仸峀崘晄壜,5590031
憅屔,R00175-014503,,,,,傾乕僇僀僽(惉栺),柍,4950000,,奒,1988擭01寧,戝嶃巗廧擵峕嬫撿峘搶8挌栚偺戄憅屔亂968捸亃,,戝嶃晎戝嶃巗廧擵峕嬫撿峘搶俉挌栚2-60,,,2.00,1.00,,,,,3201.48,968.44,5112,2025/04/11,"2025/02/03 13:35","2025/04/11 14:04",愭暔(拠夘),,乮姅乯俲俙俿俙俬,-,"=""06-4305-3232""",嬻桳,,5590031
戄抧,R00175-014339,,,,峏抧,傾乕僇僀僽(惉栺),柍,360000,,奒,-,暫屔導壛搶巗搶幚偺戄抧亂363捸亃,,暫屔導壛搶巗搶幚781-1,,,2.00,2.00,,,,1200.00,,363,992,2025/04/11,"2024/11/14 10:42","2025/04/11 14:04",愭暔(拠夘),,乮桳乯僫僈僀僄僗僥乕僩,-,"=""0795-43-0011""",,,6731434
岺応,R00175-014546,,,,寶抸拞,傾乕僇僀僽(惉栺),柍,935000,,奒,2025擭05寧,暫屔導壛惣巗闓栰挰偺戄岺応亂154捸亃,,暫屔導壛惣巗闓栰挰1962-1,,,3.00,1.00,,1.00,,,512.00,154.88,6037,2025/02/25,"2025/02/25 11:39","2025/04/10 16:38",愭暔(拠夘),,乮姅乯儀僗僩憂旤丂壛惣帠柋強,-,"=""0790-42-6608""",,,6752103
憅屔,R00175-014213,,,,嬻,傾乕僇僀僽(惉栺),柍,880000,,奒,1973擭06寧,戝嶃巗惣梽愳嬫戝榓揷2挌栚偺戄憅屔亂187捸亃,,戝嶃晎戝嶃巗惣梽愳嬫戝榓揷俀挌栚1-20,,,4.00,,,3.00,,,619.40,187.36,4697,2025/04/10,"2024/09/20 13:38","2025/04/10 10:08",愭暔(拠夘),,姅幃夛幮屲戝,戝懞丗090-8655-8551,"=""06-6467-5230""",,"2024.10.17 壒弌傞嬈庬NG",5550032
憅屔,R00175-014214,,,,,傾乕僇僀僽(惉栺),柍,968000,,奒,2024擭09寧,戝嶃巗掃尒嬫墶掔2挌栚偺戄憅屔亂76捸亃,,戝嶃晎戝嶃巗掃尒嬫墶掔俀挌栚22-4,,,2.00,1936000,,,,236.51,253.00,76.53,12649,2025/02/04,"2024/09/20 13:54","2025/04/07 11:16",愭暔(拠夘),,乮姅乯娭惣惉搇岺柋揦,-,"=""072-646-5001""",嬻桳,,5380052
揦曑(寶暔堦妵),R00175-014428,,,,嬻,傾乕僇僀僽(惉栺),柍,,,奒,2015擭01寧,戝嶃巗梽愳嬫怴崅俀挌栚偺戄揦曑亂49捸亃,,戝嶃晎戝嶃巗梽愳嬫怴崅俀挌栚2-10,,,4.00,2.00,,,,385.65,162.84,49.25,,2025/03/19,"2024/12/25 18:14","2025/04/07 09:21",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,柤壝崃,"=""06-6136-0555""",嬻桳,77枩,5320033
戄抧,R00175-013995,,,,峏抧,傾乕僇僀僽(惉栺),柍,554600,,奒,-,嫗搒晎忛梲巗悈庡怷僲搶偺戄抧亂566捸亃,,嫗搒晎忛梲巗悈庡怷僲搶3,,,3.00,,,,,1871.13,,566.01,980,2025/04/03,"2024/05/28 13:02","2025/04/03 17:13",愭暔(拠夘),,乮姅乯僴僂僗僾儘僕僃僋僩,-,"=""075-602-1023""",,"丒3崋抧
嫗搒晎忛梲巗悈庡怷僲搶侾亅俉偺椬

",6100118
憅屔,R00175-014509,,,,嬻,傾乕僇僀僽(惉栺),柍,352000,,奒,-,戝嶃巗惣梽愳嬫昉搰5挌栚偺戄憅屔亂47捸亃,,戝嶃晎戝嶃巗惣梽愳嬫昉搰俆挌栚1-16,,,2.00,2.00,,,,,155.88,47.15,7465,2025/04/03,"2025/02/03 15:16","2025/04/03 17:10",愭暔(拠夘),,乮姅乯俙乕俷値倕,-,"=""06-4808-0992""",,,5550033
岺応,R00175-014230,,,,嬻,傾乕僇僀僽(惉栺),柍,1100000,,奒,1981擭11寧,暫屔導柧愇巗擇尒挰撿擇尒偺戄岺応亂261捸亃,,暫屔導柧愇巗擇尒挰撿擇尒19-9,,,6000000,2000000,,,,1000.01,864.26,261.43,4208,2025/03/11,"2024/10/01 15:35","2025/04/02 17:34",愭暔(拠夘),,乮姅乯埨怱僒億乕僩晄摦嶻,-,"=""0798-31-6123""",,"2025.4.1 暔妋帪丂曞廤庢傝壓偘",6740093
憅屔,R00175-014513,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,880000,,奒,1984擭12寧,搶戝嶃巗愳枔1挌栚偺戄憅屔亂118捸亃,,戝嶃晎搶戝嶃巗愳枔侾挌栚11-40,,,4.00,2.00,,,,,392.21,118.64,7418,2025/02/14,"2025/02/06 13:34","2025/04/02 11:18",愭暔(拠夘),,姅幃夛幮嫽塰彜帠,-,"=""06-6783-5136""",嬻桳,,5770063
憅屔,R00175-014264,,,,嬻,傾乕僇僀僽(惉栺),柍,715000,,奒,1977擭04寧,嶄巗拞嬫搚搩挰偺戄憅屔亂105捸亃,,戝嶃晎嶄巗拞嬫搚搩挰2067-3,,,,,3000000,,,696.00,350.00,105.87,6754,2024/10/15,"2024/10/15 15:04","2025/03/31 23:05",愭暔(拠夘),,擔惗廧戭(姅),-,"=""072-287-2678""",嬻桳,,5998234
戄抧,R00175-014123,,,,峏抧,岞奐壜,柍,495000,,奒,-,榓愹巗弔栘挰偺戄抧亂882捸亃,,戝嶃晎榓愹巗弔栘挰585-1,,,,,1485000,,,2916.04,,882.1,562,2026/06/18,"2024/07/30 13:29","2025/03/31 23:05",愭暔(拠夘),,乮姅乯僐僗儌晄摦嶻忣曬丂撿戝嶃巟揦,-,"=""072-433-2580""",,"
丒応強丗弔栘挰585-1杒懁",5941141
戄抧,R00175-014066,,,,峏抧,傾乕僇僀僽(惉栺),柍,350000,,奒,-,娸榓揷巗嶳捈拞挰偺戄抧亂324捸亃,,戝嶃晎娸榓揷巗嶳捈拞挰411-3,,,1.00,,4.00,,,1074.00,,324.88,1078,2024/08/01,"2024/07/04 14:20","2025/03/31 23:05",愭暔(拠夘),,姅幃夛幮僕僃乕丒僺乕丒僨傿乕惔悈,-,"=""075-951-3333""",,仸応強偼惓妋偱偼偁傝傑偣傫丅妋擣偍婅偄偟傑偡丅,5960102
揦曑帠柋強(寶暔堦妵),R00175-014021,,,,嬻,傾乕僇僀僽(惉栺),柍,770000,,奒,1993擭07寧,嶄巗拞嬫敧揷惣挰2挌偺戄揦曑丒帠柋強亂95捸亃,,戝嶃晎嶄巗拞嬫敧揷惣挰俀挌19-35,,,6.00,,,3.00,,,316.84,95.84,8034,2024/08/08,"2024/06/10 13:39","2025/03/31 23:05",愭暔(拠夘),,側偛傒晄摦嶻,-,"=""072-370-0001""",嬻桳,,5998265
戄抧,R00175-013959,,,,峏抧,傾乕僇僀僽(惉栺),柍,380000,,奒,-,榓愹巗暓暲挰偺戄抧亂776捸亃,,戝嶃晎榓愹巗暓暲挰165,,,,,5.00,,,2568.56,,776.98,490,2025/01/23,"2024/05/08 13:15","2025/03/31 23:05",愭暔(拠夘),,乮桳乯嬤婨僄僗僥乕僩,-,"=""072-958-2828""",,"暔妋丗揷壀條丂090-3160-5283

峏偵墑婜偱11寧傛傝岺帠偵擖傞偺偱3~4偐寧掱偐偐傞偲偺偙偲 2024.10.8仼2024.6.13 尰忬偺擾揮怽惪拞丂抶偔偲傕9寧偵偼姰椆偡傞",5941136
揦曑帠柋強(寶暔堦妵),R00175-013944,,,,嬻,傾乕僇僀僽(惉栺),柍,495000,,奒,1990擭10寧,嶄巗拞嬫怺堜悈抮挰偺戄揦曑丒帠柋強亂55捸亃,,戝嶃晎嶄巗拞嬫怺堜悈抮挰3134,,,2.00,1.00,,,,540.00,182.00,55.05,8992,2024/04/19,"2024/04/19 12:21","2025/03/31 23:05",愭暔(拠夘),,乮姅乯榓彜晄摦嶻,-,"=""072-277-5155""",嬻桳,,5998237
憅屔,R00175-013926,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,220000,,奒,2001擭04寧,僟僀僜乕儐僯僢僩乥B嬫夋亂31捸亃,,戝嶃晎嶄巗拞嬫怺堜悈抮挰3080,,8800,4.00,2.00,,,,451.30,102.72,31.07,7081,2024/06/28,"2024/04/16 09:19","2025/03/31 23:05",帺幮,堦斒攠夘,姅幃夛幮僙儞僠儏儕乕僟僀僜乕,搰杮,"=""06-6136-0555""",嬻桳,"10寧枛戅嫀梊掕
戅嫀屻戝憅偵偰尨忬夞暅岺帠幚巤屻丄堷偒搉偟梊掕",5998237
憅屔,R00175-013896,,,,嬻,傾乕僇僀僽(惉栺),柍,363000,,奒,1989擭07寧,嶄巗拞嬫怺堜杒挰偺戄憅屔亂119捸亃,,戝嶃晎嶄巗拞嬫怺堜杒挰3438,,,,500000,1000000,,,377.07,394.39,119.3,3043,2024/10/31,"2024/04/05 11:26","2025/03/31 23:05",愭暔(拠夘),,乮桳乯媑廧晄摦嶻,-,"=""072-277-3550""",嬻桳,,5998271
憅屔,R00175-013751,,,,嬻,傾乕僇僀僽(惉栺),柍,770000,,奒,1997擭01寧,嶄巗撿嬫戝掚帥偺戄憅屔亂181捸亃,,戝嶃晎嶄巗撿嬫戝掚帥55-1,,,3.00,2.00,,2.00,,932.23,599.00,181.19,4250,2024/04/30,"2024/02/02 14:08","2025/03/31 23:05",愭暔(拠夘),,寭徏嫽彜乮姅乯,-,"=""06-6324-1925""",嬻桳,,5900153
憅屔,R00175-013714,,,,嬻,傾乕僇僀僽(惉栺),柍,330000,,奒,1987擭12寧,嶄巗撿嬫栰乆堜偺戄憅屔亂90捸亃,,戝嶃晎嶄巗撿嬫栰乆堜909-1,,,,,2000000,,,398.31,300.00,90.75,3637,2024/04/30,"2024/01/18 13:54","2025/03/31 23:05",愭暔(拠夘),,徏旜晄摦嶻,-,"=""072-273-7001""",嬻桳,,5900155
憅屔,R00175-013713,,,,嬻,傾乕僇僀僽(惉栺),柍,495000,,奒,1983擭04寧,榓愹巗塝揷挰偺戄憅屔亂129捸亃,,戝嶃晎榓愹巗塝揷挰99-1,,,,3.00,,,,,429.70,129.98,3809,2024/03/15,"2024/01/18 13:40","2025/03/31 23:05",愭暔(拠夘),,暯堜晄摦嶻,-,"=""0725-58-8110""",嬻桳,,5941103
憅屔,R00175-013712,,,,嬻,傾乕僇僀僽(惉栺),柍,440000,,奒,1981擭04寧,娸榓揷巗嶰揷挰偺戄憅屔亂168捸亃,,戝嶃晎娸榓揷巗嶰揷挰456-1,,,,2.00,,,,673.00,558.42,168.92,2605,2024/03/27,"2024/01/18 13:28","2025/03/31 23:05",愭暔(拠夘),,暯堜晄摦嶻,-,"=""0725-58-8110""",柍,,5960808
戄抧,R00175-013693,,,,峏抧,傾乕僇僀僽(惉栺),柍,523000,,奒,-,榓愹巗忋戙挰偺戄抧亂475捸亃,,戝嶃晎榓愹巗忋戙挰1095-1懠,,,,3.00,6.00,,,1572.00,,475.53,1100,2024/03/11,"2024/01/15 12:49","2025/03/31 23:05",愭暔(拠夘),,乮姅乯僗僇僀僒儞儂乕儉丂,-,"=""072-369-5888""",,,5940011
揦曑(寶暔堦妵),R00175-013688,,,,嬻,傾乕僇僀僽(惉栺),柍,495000,,奒,1999擭01寧,嶄巗拞嬫暯堜偺戄揦曑亂31捸亃,,戝嶃晎嶄巗拞嬫暯堜734-1,,,,,12.00,,,4628.10,102.60,31.03,15949,2024/08/30,"2024/01/15 11:12","2025/03/31 23:05",愭暔(拠夘),,姅幃夛幮僇儉僥僀,-,"=""06-6225-9557""",嬻桳,仸峀崘宖嵹晄壜,5998251
揦曑(寶暔堦妵),R00175-013676,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,330000,,奒,2011擭01寧,榓愹巗抮揷壓挰偺戄揦曑亂29捸亃,,戝嶃晎榓愹巗抮揷壓挰1911-1,,,2.00,3.00,,,,1273.89,98.77,29.87,11045,2024/03/15,"2024/01/10 12:45","2025/03/31 23:05",愭暔(拠夘),,乮姅乯儐乕儕乕僌,-,"=""0725-57-2010""",嬻桳,,5940032
戄抧,R00175-013784,,,,峏抧,傾乕僇僀僽(惉栺),柍,550000,,奒,-,撧椙導杒妺忛孲壨崌挰戝帤寠埮偺戄抧亂482捸亃,,撧椙導杒妺忛孲壨崌挰戝帤寠埮223-5,,,,1.00,,,,1594.00,,482.18,1141,2025/03/31,"2024/02/14 15:06","2025/03/31 10:44",愭暔(拠夘),,杧杮抧強崌摨夛幮,-,"=""0747-22-5111""",,2024.5.27捓椏DOWN60枩仺55枩,6360054
憅屔,R00175-014384,,,,嬻,傾乕僇僀僽(惉栺),柍,343200,,奒,-,悂揷巗搶屼椃挰偺戄憅屔亂52捸亃,,戝嶃晎悂揷巗搶屼椃挰5-41,5500,,2.00,2.00,,,,,172.72,52.24,6569,2025/03/31,"2024/12/05 13:07","2025/03/31 10:32",愭暔(拠夘),,乮姅乯娵拞晄摦嶻,-,"=""06-6328-6171""",嬻桳,丒C崋,5640033
憅屔,R00175-014077,,,,嬻,傾乕僇僀僽(惉栺),柍,2970000,,奒,1992擭10寧,愹杒孲拤壀挰拤壀杒3挌栚偺戄憅屔亂744捸亃,,戝嶃晎愹杒孲拤壀挰拤壀杒俁挌栚6-35,,,6.00,1.00,,,,1879.68,2459.83,744.09,3992,2025/03/31,"2024/07/11 12:04","2025/03/31 10:31",愭暔(拠夘),,乮姅乯儗儞僞儖僴僂僗撿戝嶃丂榓愹晎拞揦,-,"=""0725-46-0055""",嬻桳,"丒抧斣丗938-4乮憅屔乯940-7乮帠柋強乯
仸媑揷夒偝傫SB採埬拞丂丂2024.7.11
",5950811
揦曑(寶暔堦妵),R00175-014055,,,,嬻,傾乕僇僀僽(惉栺),柍,660000,,奒,-,搶戝嶃巗搶崈抮挰5挌栚偺戄揦曑亂34捸亃,,戝嶃晎搶戝嶃巗搶崈抮挰俆挌栚9-40,,,,,12.00,,,731.00,114.40,34.6,19072,2025/03/31,"2024/07/01 13:19","2025/03/31 10:27",愭暔(拠夘),,乮姅乯傒傗偙晄摦嶻婇夋,暯杮丗090-7486-5377,"=""06-6949-9030""",嬻桳,,5780973
揦曑(寶暔堦妵),R00175-014406,,,,,傾乕僇僀僽(惉栺),柍,308000,,奒,1986擭04寧,暫屔導桲曐孲懢巕挰棫壀偺戄揦曑亂43捸亃,,暫屔導桲曐孲懢巕挰棫壀113-3,,,,,,,,365.31,143.34,43.36,7104,2025/03/28,"2024/12/12 11:34","2025/03/28 17:45",愭暔(拠夘),,乮桳乯揤墹搚抧,-,"=""079-276-1026""",嬻桳,,6711531
憅屔,R00175-014400,,,,嬻,傾乕僇僀僽(惉栺),柍,440000,,奒,1971擭01寧,栧恀巗峕抂挰偺戄憅屔亂97捸亃,,戝嶃晎栧恀巗峕抂挰38-5,,,,,6.00,,,,323.01,97.71,4504,2025/03/28,"2024/12/10 13:55","2025/03/28 17:32",愭暔(拠夘),,愛捗抧強乮姅乯,-,"=""072-870-2020""",,,5710012
岺応,R00175-014156,,,,嬻,傾乕僇僀僽(惉栺),柍,440000,,奒,1977擭01寧,戝嶃巗暯栰嬫壛旤惣1挌栚偺戄岺応亂121捸亃,,戝嶃晎戝嶃巗暯栰嬫壛旤惣侾挌栚15-11,,,,,2000000,,,,400.00,121,3637,2024/12/09,"2024/08/26 12:10","2025/03/28 17:25",愭暔(拠夘),,拞墰僴僂僕儞僌乮姅乯,-,"=""06-6751-0020""",嬻桳,2024.12.09丂彜択拞,5470005
憅屔,R00175-014360,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,319000,,奒,1983擭01寧,戝嶃巗廧擵峕嬫暯椦撿2挌栚偺戄憅屔亂61捸亃,,戝嶃晎戝嶃巗廧擵峕嬫暯椦撿俀挌栚2-34,,,,,3.00,,,147.07,202.56,61.27,5207,2024/11/25,"2024/11/25 13:35","2025/03/28 17:25",愭暔(拠夘),,廧擵峕晄摦嶻乮姅乯丂,-,"=""06-6685-9919""",,峀崘晄壜儅僢僠儞僌,5590025
岺応,R00175-014447,,,,嬻,傾乕僇僀僽(惉栺),柍,1760000,,奒,1973擭08寧,搶戝嶃巗崅堜揷惣3挌栚偺戄岺応亂214捸亃,,戝嶃晎搶戝嶃巗崅堜揷惣俁挌栚5-23,,,,,9600000,,,1055.85,707.84,214.12,8220,2025/03/28,"2025/01/09 12:34","2025/03/28 16:42",愭暔(拠夘),,姅幃夛幮僐僗儌晄摦嶻忣曬丂搶戝嶃巟揦,-,"=""06-6748-7110""",嬻桳,,5770067
憅屔,R00175-014349,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,924000,,奒,1991擭02寧,暫屔導壛屆愳巗栰岥挰悈懌偺戄憅屔亂221捸亃,,暫屔導壛屆愳巗栰岥挰悈懌2019-1,,,3000000,1100000,,,,2185.11,732.67,221.63,4170,2025/03/28,"2024/11/19 13:49","2025/03/28 11:27",愭暔(拠夘),,僕僆晄摦嶻斕攧丂僕僆僾儔儞僫乕僘乮姅乯,-,"=""0790-33-9688""",嬻桳,,6750019
揦曑(寶暔堦妵),R00175-013910,,,,嬻,傾乕僇僀僽(惉栺),柍,385000,,奒,2021擭11寧,帬夑導峛夑巗怣妝挰捄巪偺戄揦曑亂29捸亃,,帬夑導峛夑巗怣妝挰捄巪2026-1,,,,,6.00,,,1093.99,99.16,29.99,12836,2025/03/28,"2024/04/09 14:47","2025/03/28 11:25",愭暔(拠夘),,柌嶇丂嬩妝晹,-,"=""0748-43-2468""",嬻桳,丒攧攦偁傝丗B00175-000532,5291804
岺応,R00175-014390,,,,嬻,傾乕僇僀僽(惉栺),柍,605000,,奒,1983擭09寧,暫屔導恄屗巗挿揷嬫恄妝挰3挌栚偺戄岺応亂177捸亃,,暫屔導恄屗巗挿揷嬫恄妝挰俁挌栚2-18,,,,1.10,1.00,,,,585.44,177.09,3417,2025/03/28,"2024/12/05 14:53","2025/03/28 11:01",愭暔(拠夘),,僥僫儞僩僔儑僢僾恄屗丂乮姅乯俴俬俥俤,-,"=""078-391-9811""",柍,,6530836
岺応,R00175-014397,,,,,傾乕僇僀僽(惉栺),柍,440000,,奒,-,戝嶃巗廧擵峕嬫惣廧擵峕3挌栚偺戄岺応亂77捸亃,,戝嶃晎戝嶃巗廧擵峕嬫惣廧擵峕俁挌栚15-22,,,3.00,3.00,,,,,254.87,77.09,5708,2025/03/28,"2024/12/09 10:44","2025/03/28 10:58",愭暔(拠夘),,僒儞僋儕僄僀僩乮姅乯,帥揷,"=""090-6380-8734""",,,5590005
揦曑(寶暔堦妵),R00175-013702,,,,,傾乕僇僀僽(惉栺),柍,660000,,奒,1998擭11寧,嫗搒晎嫗搒巗惣嫗嬫宩摽戝帥杒挰偺戄揦曑亂51捸亃,,嫗搒晎嫗搒巗惣嫗嬫宩摽戝帥杒挰50,,,1.00,2.00,,,1.00,,169.88,51.38,12844,2025/03/28,"2024/01/16 15:07","2025/03/28 10:55",愭暔(拠夘),,俴俬倃俬俴晄摦嶻僔儑僢僾丂僕僃僀僱僢僩僴僂僕儞僌,-,"=""075-394-8868""",嬻桳,"2024.9.19 曞廤嵞奐丂
2024.8.30 曞廤掆巭丂捓椏曄峏55枩(惻崬)仺110枩(惻崬)丂杒懁挀幵応偲僙僢僩戄偟",6158301
憅屔,R00175-013918,,,,嬻,傾乕僇僀僽(惉栺),柍,850000,,奒,1978擭07寧,暫屔導扥攇巗昘忋挰昘忋偺戄憅屔亂338捸亃,,暫屔導扥攇巗昘忋挰昘忋722,,,,1.00,2550000,,,,1120.00,338.8,2509,2025/03/28,"2024/04/11 15:41","2025/03/28 10:47",愭暔(拠夘),,乮姅乯徏堜彜帠,-,"=""0795-72-2103""",嬻桳,僆乕僫乕條傛傝TEL偁傝丄宖嵹偵偮偄偰偺宱堒傪妋擣仺儗僀儞僘偺巪偍揱偊偟丄宖嵹宱堒傪偍揱偊偟偨偲偙傠宖嵹偺宱堒偝偊暘偐傟偽嵹偣偰偍偄偰偄偨偩偄偰戝忎晇偲偺偙偲偱偡丄2024.9.4摗尨,6693651
揦曑(寶暔堦妵),R00175-014407,,,,嬻,傾乕僇僀僽(惉栺),柍,350000,,奒,1997擭04寧,枃曽巗彽採拞挰1挌栚偺戄揦曑亂55捸亃,,戝嶃晎枃曽巗彽採拞挰侾挌栚15-1,,,,1000000,1000000,,,276.86,183.06,55.37,6321,2025/03/28,"2024/12/12 11:48","2025/03/28 10:43",愭暔(拠夘),,乮姅乯榓岾廧戭,-,"=""072-893-4448""",,,5731152
憅屔,R00175-014270,,,,嫃廧拞,傾乕僇僀僽(惉栺),柍,1540000,,奒,1975擭08寧,暫屔導恄屗巗搶撳嬫屼塭捤挰3挌栚偺戄憅屔亂334捸亃,,暫屔導恄屗巗搶撳嬫屼塭捤挰俁挌栚8-12,,,6.00,2.00,,,,725.10,1107.30,334.95,4598,2025/03/28,"2024/10/17 16:27","2025/03/28 10:37",愭暔(拠夘),,乮姅乯儕乕僼僋儕僄乕僔儑儞,-,"=""078-333-2533""",柍,,6580044
憅屔,R00175-014157,,,,嬻,傾乕僇僀僽(惉栺),柍,330000,,奒,2024擭04寧,暫屔導壛屆愳巗巙曽挰塱幒偺戄憅屔亂59捸亃,,暫屔導壛屆愳巗巙曽挰塱幒91-5,,,,3.00,,,,,198.00,59.89,5510,2025/03/28,"2024/08/27 13:52","2025/03/28 10:17",愭暔(拠夘),,乮姅乯儂乕儉僙儗僋僔儑儞,-,"=""079-430-2166""",嬻桳,仸帒椏偺廧強偼娫堘偭偰偄傑偡丅昘幒仺塱幒,6750347
揦曑(寶暔堦妵),R00175-014445,,,,,傾乕僇僀僽(惉栺),柍,385000,,奒,2017擭02寧,帬夑導戝捗巗昪幁1挌栚偺戄揦曑亂35捸亃,,帬夑導戝捗巗昪幁侾挌栚3-32,,,,,700000,,,457.00,116.00,35.09,10972,2025/03/28,"2025/01/08 11:23","2025/03/28 10:16",愭暔(拠夘),,乮姅乯儂乕儉僔儑僢僾寴揷,-,"=""077-573-5597""",嬻桳,,5200102
岺応,R00175-014359,,,,嬻,傾乕僇僀僽(惉栺),柍,330000,,奒,1971擭03寧,暫屔導壛惣巗暿強挰偺戄岺応亂88捸亃,,暫屔導壛惣巗暿強挰224-1,,11000,3.00,1.00,,1.00,,,291.60,88.2,3742,2025/03/28,"2024/11/25 13:22","2025/03/28 10:15",愭暔(拠夘),,乮姅乯儀僗僩憂旤丂壛惣帠柋強,-,"=""0790-42-6608""",嬻桳,,6752462
戄抧,R00175-014417,,,,峏抧,傾乕僇僀僽(惉栺),柍,432000,,奒,-,嫗搒晎栘捗愳巗嶳忛挰鉟揷旜柍偺戄抧亂432捸亃,,嫗搒晎栘捗愳巗嶳忛挰鉟揷旜柍5-1,,,,,2.00,0.50,,1429.00,,432.27,1000,2025/03/28,"2024/12/18 11:34","2025/03/28 10:02",愭暔(拠夘),,乮姅乯傂傞傑偺晄摦嶻,-,"=""075-864-1515""",,,6190201
憅屔,R00175-014046,,,,嬻,傾乕僇僀僽(惉栺),柍,2200000,,奒,1971擭04寧,暫屔導恄屗巗搶撳嬫怺峕昹挰偺戄憅屔亂574捸亃,,暫屔導恄屗巗搶撳嬫怺峕昹挰148,,,3.00,,,,,1613.94,1900.12,574.78,3828,2025/03/28,"2024/06/24 11:30","2025/03/28 10:01",愭暔(拠夘),,乮姅乯僴僂僗儊僀僩晲屔擵憫揦丂乮姅乯娭惣廧戭,埨掕乮儎僗僒僟乯,"=""06-6437-3888""",嬻桳,,6580023
岺応,R00175-014231,,,,嬻,傾乕僇僀僽(惉栺),柍,1100000,,奒,2001擭05寧,搶戝嶃巗崅堜揷偺戄岺応亂151捸亃,,戝嶃晎搶戝嶃巗崅堜揷22-16,,,4.00,2.00,,,,363.63,502.37,151.96,7239,2025/03/28,"2024/10/02 11:46","2025/03/28 09:53",愭暔(拠夘),,乮姅乯僨僶僀僗僋儕僄乕僩,-,"=""06-6654-3703""",嬻桳,,5770053
揦曑帠柋強(寶暔堦妵),R00175-014287,,,,巊梡拞,傾乕僇僀僽(惉栺),柍,350000,,奒,1991擭04寧,暫屔導壛搶巗嶳崙偺戄揦曑丒帠柋強亂140捸亃,,暫屔導壛搶巗嶳崙2013-109,,,3.00,2.00,,,,1400.59,465.69,140.87,2485,2025/03/28,"2024/10/25 11:46","2025/03/28 09:47",愭暔(拠夘),,乮姅乯僗僇僀僩儔僗僩,-,"=""0795-21-0007""",嬻桳,,6731421
戄抧,R00175-014254,,,,,傾乕僇僀僽(惉栺),柍,740000,,奒,-,嫗搒晎嫗搒巗暁尒嬫抾揷惣彫壆僲撪挰偺戄抧亂210捸亃,,嫗搒晎嫗搒巗暁尒嬫抾揷惣彫壆僲撪挰12,,,6.00,,,,,696.95,,210.82,3510,2025/03/28,"2024/10/08 15:04","2025/03/28 09:40",愭暔(拠夘),,乮姅乯俿仌俠,-,"=""075-255-5885""",,,6128449
憅屔,R00175-014194,,,,嬻,傾乕僇僀僽(惉栺),柍,550000,,奒,-,堬栘巗孲4挌栚偺戄憅屔亂159捸亃,,戝嶃晎堬栘巗孲係挌栚4-19,,,,3.00,5.00,,,287.60,528.92,159.99,3438,2025/03/28,"2024/09/12 13:02","2025/03/28 09:39",愭暔(拠夘),,乮姅乯俼倧倧倲倱,妬扟,"=""072-631-3510""",嬻桳,僱僢僩晄壜佀儅僢僠儞僌偺傒,5670072
憅屔,R00175-014034,,,,嬻,傾乕僇僀僽(惉栺),柍,352000,,奒,1996擭07寧,暫屔導昉楬巗崅旜挰偺戄憅屔亂47捸亃,,暫屔導昉楬巗崅旜挰76,,,1.00,1.00,,,,130.50,155.80,47.12,7469,2025/03/28,"2024/06/17 13:36","2025/03/28 09:36",愭暔(拠夘),,乮姅乯俷丏俲晄摦嶻,-,"=""079-262-6622""",嬻桳,2025.3.12丗彜択拞,6700915
